Project Name,Number of Packages,Number of APIs,Time Taken (seconds)
1694496_phase1,4,5,6.17
16c0eb09d232461a773c22803a3df35e_phase1,12,12,22.28
16ce4914683da30f87d0_phase1,4,9,12.08
16e35ed936bab863a29b_phase1,9,14,20.08
1701305_phase1,7,8,12.28
1701845_phase1,11,19,23.84
1702293_phase1,6,8,18.85
1705235_phase1,4,10,9.63
1707483_phase1,3,3,8.22
1710122_phase1,3,4,11.44
1714d2952c09b96ba2d8777f1cbf9de1_phase1,9,10,20.82
1715202_phase1,2,5,6.62
1716699_phase1,5,6,11.79
1720032_phase1,4,8,10.28
1722150_phase1,6,7,12.89
1722465_phase1,4,6,10.89
1722663_phase1,4,8,5.83
1727204_phase1,2,3,5.8
1728255_phase1,10,14,20.07
173778fd95b9e21afd1aa4ed16bb0694_phase1,2,2,5.5
174056_phase1,5,4,9.38
1748a6676120a0aacea2_phase1,6,7,8.94
1752014_phase1,8,14,15.75
1757120_phase1,2,1,4.82
1757c55017ef2bfcc070909bdf0e6547_phase1,3,3,6.23
1760854_phase1,2,3,5.16
1761714_phase1,3,8,13.43
1766791_phase1,2,4,5.62
1771937_phase1,4,7,10.88
1773870_phase1,6,7,12.51
1776202_phase1,3,5,7.57
177e37756c833768a21d446cc4921c6e_phase1,8,15,4.46
1780878_phase1,3,11,7.85
1788517_phase1,4,7,9.54
1791644_phase1,2,2,11.32
1792428_phase1,2,3,5.32
1792732_phase1,7,12,12.39
1795840_phase1,3,5,6.53
1805981_phase1,2,3,3.42
1808234_phase1,12,29,18.62
1810707_phase1,3,3,7.58
1815146_phase1,1,7,4.82
1818351_phase1,7,7,15.82
1820074_phase1,2,8,4.23
1820829_phase1,5,8,9.97
1823320_phase1,2,3,4.75
18235723e926be0afbdd_phase1,8,14,20.87
1825401_phase1,6,9,12.07
1835224_phase1,13,6,7.53
1844928_phase1,3,5,7.79
18531dba2bec928424c0_phase1,3,5,12.5
1858252_phase1,3,6,4.22
1860715_phase1,4,9,10.43
1871929_phase1,5,8,10.51
1873692_phase1,2,3,6.12
1876859_phase1,2,3,5.19
1877577_phase1,2,5,7.12
187895beb89f0a1b3a54_phase1,2,4,6.8
1878983_phase1,2,4,6.52
1879626_phase1,6,8,15.32
1882562_phase1,3,14,9.3
18a73aa5dab4b574e2f5_phase1,4,5,8.48
18a8e06c2b179bb78353fbacfeee82da_phase1,2,3,6.1
18e6b6ed5d69b057e773_phase1,5,16,11.24
1907f96e6e680bbeb15393d4f441b55e_phase1,3,7,8.89
1911238_phase1,3,5,5.77
1912053_phase1,3,17,7.18
19154831c2049a69e8d53dea8cf3e744_phase1,2,8,5.08
1918389_phase1,4,5,8.19
1919511_phase1,4,5,7.25
191d15e28c39246a2525_phase1,2,3,5.09
1920535_phase1,2,4,7.23
1927a29f642593861afc_phase1,2,2,6.34
1928063_phase1,4,6,12.63
19284bd220165758a0c953ae25108b6b_phase1,2,8,6.36
19317d3e4b9a58f2355e7643040d483a_phase1,6,8,12.59
1935808_phase1,6,10,11.9
1940208_phase1,2,5,6.41
1943426_phase1,4,4,7.06
1947166_phase1,2,3,6.27
1950267_phase1,16,19,31.98
1951709_phase1,3,6,9.95
1969d4648458cf876af92b3507856d70_phase1,2,2,3.67
1971061_phase1,6,8,15.02
1997771_phase1,4,6,10.23
19a4b105d1dff9a591b8_phase1,4,6,11.68
19d2397ff8da1952556cf2417d965f6c_phase1,2,5,6.62
1a43c785226a06a72872_phase1,1,2,4.8
1ad56b7720af8d706e7f22cbcb8c6d70_phase1,2,4,6.53
1aefa4509e066690b892_phase1,4,8,7.14
1b42a20c8f3eb9bb7cb8_phase1,3,5,3.96
1b49c03968b2c83897a4a15c78980b18_phase1,2,10,6.99
1b94c541ffc158d3e668810b75d69405_phase1,5,6,9.84
1bd64fbbbc07f2a7634bcb9275929dac_phase1,2,4,6.95
1c160c9eee91fd44c587_phase1,5,7,15.68
1c3176fe9e38dcaadd1e56c2f15c95d9_phase1,3,11,6.2
1c48360bde201b3d54ab_phase1,3,5,7.29
1c9b352ba19b5e33f9c4_phase1,2,4,5.63
1cae669defce037511ada4e0ed01b3cd_phase1,4,8,8.54
1cb4d81fed37fd06ef60d08c1181f557_phase1,2,9,6.32
1cb65c4b5be2575ea3ab_phase1,2,10,5.37
1cd6ce82490d2c0f2e0a_phase1,3,3,8.12
1cec2b3d8aeaaa102e3b_phase1,2,3,5.43
1d08fa7af5ab846211ace2447e1e3e8a_phase1,3,12,7.56
1d596ca757a541da96ac3caa6f291229_phase1,4,11,9.65
1d5b3ad08201b7df48c7f25a169d0021_phase1,2,2,6.28
1d7cb531bb8fff8c228b7710126bcc33_phase1,2,5,5.8
1d878d0401b28b281eb75016ed29f2ee_phase1,2,13,6.7
1da13f548200d9fb2b06_phase1,4,7,10.8
1ddc318b4124ed152f6d_phase1,2,5,6.23
1df6d34cd1b2861eb6b7432ee7245ccd_phase1,4,7,7.89
1e1d383fb21841e8f144_phase1,3,9,7.9
1e2600ed62d5e76b21ee_phase1,4,17,10.72
1e5404260b7e3a8ba4ba0a0d62c0cf75_phase1,5,7,11.21
1e58686b6d5193cbaf30_phase1,11,16,20.05
1e7c18c6f6eda87f1cb4995b0e6a22a5_phase1,8,13,15.81
1e7c794842755683162b_phase1,3,9,9.16
1e7e3c1da32d00f8ce0dff6b86fd45fe_phase1,11,19,32.89
1e8ab5bcf1a3af2c20de_phase1,3,7,8.66
1ebaeaaa7f7408647fef_phase1,2,4,6.4
1ed9763ab4aa98516a7d_phase1,7,9,16.87
1f140573b37939e78eb5_phase1,5,8,10.12
1f66e4d58074d64c8268_phase1,7,10,17.26
1f8dfb1b5c82627ae3efcfbbadb9f514_phase1,4,11,9.86
1fa4f3360ffdb1e69507_phase1,5,8,11.97
1fe7b9ef3e6108216759_phase1,1,2,4.37
2005165_phase1,8,12,15.32
20089f4abf9706d0cdc4_phase1,3,14,7.56
2011426_phase1,2,6,6.84
2019037_phase1,8,14,16.77
2020955_phase1,2,15,7.78
2021781_phase1,4,8,8.44
2025129_phase1,5,8,13.59
2030390_phase1,4,11,6.83
2031484_phase1,2,3,5.77
2032745_phase1,3,16,28.19
20336_phase1,2,2,3.65
2038329_phase1,4,5,10.1
204a609ee295c81c3cc202ecbe68752c_phase1,12,13,18.59
2054744_phase1,2,3,5.18
2061456_phase1,5,10,10.15
2068759_phase1,5,7,10.11
2083178_phase1,2,2,5.28
20a147e657ee5e8d8666_phase1,5,8,12.63
20a36f89546854cc434ecee70522cb8d_phase1,8,14,19.41
